"id","code","serial_id","national_registration_code","foreign_id_code","name","middle_name","surname","name_reading","middle_name_reading","surname_reading","gender","birth_date","admitted","graduated","enrollment_status_code","primary_address","primary_contact","class_and_number","user_id","faculty_id","commute_method_type_id","scholarship_status_id"
897,"**-****-00897",897,,897,"Shayna","Rubye","Kihn",,,,,"2013-09-25",,,"applicant",,,,,,,1
898,"**-****-00898",898,,898,"Marianne","Marcella","Heaney",,,,,"2012-07-21",,,"applicant",,,,,,,1
899,"**-****-00899",899,,899,"Baron","Reanna","Christiansen",,,,,"2014-02-01",,,"applicant",,,,,,,1
264,"**-****-00264",264,,264,"Daphney","Carli","Koelpin",,,,,"2012-08-20",,,"admitted","Nagoya, 683 Edyth Common","Email: marlene_greenfelder@raynorbogan.biz",,,,,1
900,"**-****-00900",900,,900,"Peter","Jaron","Klocko",,,,,"2012-09-02",,,"applicant",,,,,,,1
901,"**-****-00901",901,,901,"Hattie","Trycia","Dooley",,,,,"2013-05-12",,,"applicant",,,,,,,1
902,"**-****-00902",902,,902,"Mariah","Arne","Veum",,,,,"2012-08-26",,,"applicant",,,,,,,1
903,"**-****-00903",903,,903,"Mallory","Jaycee","Schiller",,,,,"2013-07-14",,,"applicant",,,,,,,1
265,"**-****-00265",265,,265,"Francisca","Sadye","Blick",,,,,"2012-11-06",,,"admitted","Nagoya, 41292 Thea Skyway","Email: shaniya.mohr@grady.ca",,,,,1
904,"**-****-00904",904,,904,"Timmothy","Dejah","Emard",,,,,"2011-09-15",,,"applicant",,,,,,,1
905,"**-****-00905",905,,905,"Nelle","Bud","Harvey",,,,,"2011-10-29",,,"applicant",,,,,,,1
906,"**-****-00906",906,,906,"Flo","Jensen","Huels",,,,,"2014-04-09",,,"applicant",,,,,,,1
907,"**-****-00907",907,,907,"Madyson","Hugh","Buckridge",,,,,"2012-10-16",,,"applicant",,,,,,,1
266,"**-****-00266",266,,266,"Lazaro","Florida","Heidenreich",,,,,"2014-04-22",,,"admitted","Nagoya, 15702 Rempel Estate","Email: ryder@waters.co.uk",,,,,1
908,"**-****-00908",908,,908,"Gina","Mitchell","Klein",,,,,"2012-07-01",,,"applicant",,,,,,,1
909,"**-****-00909",909,,909,"Myrtle","Theodora","Koss",,,,,"2012-08-05",,,"applicant",,,,,,,1
910,"**-****-00910",910,,910,"Johnnie","Aliya","Brakus",,,,,"2011-10-12",,,"applicant",,,,,,,1
911,"**-****-00911",911,,911,"Dixie","Elta","Hirthe",,,,,"2012-09-15",,,"applicant",,,,,,,1
912,"**-****-00912",912,,912,"Rachelle","Janie","Shields",,,,,"2011-11-06",,,"applicant",,,,,,,1
913,"**-****-00913",913,,913,"Xander","Jayde","Beahan",,,,,"2013-09-12",,,"applicant",,,,,,,1
914,"**-****-00914",914,,914,"Jacklyn","Dameon","Gleason",,,,,"2012-01-17",,,"applicant",,,,,,,1
915,"**-****-00915",915,,915,"Tyrel","Darius","Balistreri",,,,,"2011-11-08",,,"applicant",,,,,,,1
916,"**-****-00916",916,,916,"Lera","Darrin","Johnson",,,,,"2013-04-18",,,"applicant",,,,,,,1
267,"**-****-00267",267,,267,"Baby","Jett","Kutch",,,,,"2012-08-14",,,"admitted","Nagoya, 4274 Hobart Plains","Email: yesenia.bergstrom@prohaska.biz",,,,,1
917,"**-****-00917",917,,917,"Madie","Rahul","Prosacco",,,,,"2014-02-02",,,"applicant",,,,,,,1
918,"**-****-00918",918,,918,"Albertha","Paolo","Reynolds",,,,,"2013-02-23",,,"applicant",,,,,,,1
919,"**-****-00919",919,,919,"Rodrick","Kaci","Simonis",,,,,"2013-11-01",,,"applicant",,,,,,,1
920,"**-****-00920",920,,920,"Kirstin","Dolores","Stokes",,,,,"2012-01-28",,,"applicant",,,,,,,1
921,"**-****-00921",921,,921,"Stanford","Hunter","Lebsack",,,,,"2013-05-17",,,"applicant",,,,,,,1
268,"**-****-00268",268,,268,"Jeffrey","Tommie","Swift",,,,,"2013-02-01",,,"admitted","Nagoya, 7455 Gaylord Club","Email: jeffrey.littel@kris.info",,,,,1
922,"**-****-00922",922,,922,"Camille","Jennifer","Reynolds",,,,,"2012-04-11",,,"applicant",,,,,,,1
923,"**-****-00923",923,,923,"Veronica","Wiley","Gorczany",,,,,"2012-07-24",,,"applicant",,,,,,,1
924,"**-****-00924",924,,924,"Eric","Ralph","Fisher",,,,,"2012-12-29",,,"applicant",,,,,,,1
925,"**-****-00925",925,,925,"Brandt","Florine","Boyle",,,,,"2013-07-09",,,"applicant",,,,,,,1
269,"**-****-00269",269,,269,"Mireille","Hattie","Thompson",,,,,"2012-03-19",,,"admitted","Nagoya, 24671 Lupe Estate","Email: kenton.heathcote@denesik.info",,,,,1
926,"**-****-00926",926,,926,"Fatima","Jazmin","Jones",,,,,"2014-01-30",,,"applicant",,,,,,,1
927,"**-****-00927",927,,927,"Henry","Marjorie","Johns",,,,,"2014-04-01",,,"applicant",,,,,,,1
928,"**-****-00928",928,,928,"Tyree","Nia","McLaughlin",,,,,"2012-01-03",,,"applicant",,,,,,,1
929,"**-****-00929",929,,929,"Edwardo","Domenic","Weimann",,,,,"2011-09-24",,,"applicant",,,,,,,1
930,"**-****-00930",930,,930,"Darren","Emilio","Schuster",,,,,"2013-10-31",,,"applicant",,,,,,,1
931,"**-****-00931",931,,931,"Jaden","Novella","Jast",,,,,"2013-03-15",,,"applicant",,,,,,,1
932,"**-****-00932",932,,932,"Vivienne","Zoey","Medhurst",,,,,"2012-05-17",,,"applicant",,,,,,,1
933,"**-****-00933",933,,933,"Destinee","Ryann","Toy",,,,,"2012-02-01",,,"applicant",,,,,,,1
934,"**-****-00934",934,,934,"Betsy","Richard","Jewess",,,,,"2013-02-13",,,"applicant",,,,,,,1
270,"**-****-00270",270,,270,"Damaris","Sabrina","Fadel",,,,,"2013-06-19",,,"admitted","Nagoya, 11302 Dooley Valley","Email: scottie.steuber@nicolashowe.co.uk",,,,,1
935,"**-****-00935",935,,935,"Edgardo","Ashtyn","Harris",,,,,"2012-06-28",,,"applicant",,,,,,,1
936,"**-****-00936",936,,936,"Jeffry","Eryn","Mayer",,,,,"2012-04-26",,,"applicant",,,,,,,1
937,"**-****-00937",937,,937,"Greyson","Dulce","Cronin",,,,,"2011-11-11",,,"applicant",,,,,,,1
938,"**-****-00938",938,,938,"Julianne","Hilma","Gutmann",,,,,"2013-09-27",,,"applicant",,,,,,,1
271,"**-****-00271",271,,271,"Hubert","Jaclyn","Rodriguez",,,,,"2012-05-26",,,"admitted","Nagoya, 9034 Bobbie Expressway","Email: baby@hilpert.info",,,,,1
939,"**-****-00939",939,,939,"Gennaro","Corbin","Schinner",,,,,"2012-05-13",,,"applicant",,,,,,,1
940,"**-****-00940",940,,940,"Samantha","Vincenza","Kertzmann",,,,,"2013-06-08",,,"applicant",,,,,,,1
941,"**-****-00941",941,,941,"Nedra","Monique","Berge",,,,,"2013-06-20",,,"applicant",,,,,,,1
942,"**-****-00942",942,,942,"Paul","Ryann","Bayer",,,,,"2012-03-13",,,"applicant",,,,,,,1
943,"**-****-00943",943,,943,"Adeline","Adell","Feeney",,,,,"2012-12-27",,,"applicant",,,,,,,1
944,"**-****-00944",944,,944,"Gia","Rodrick","Harber",,,,,"2012-04-25",,,"applicant",,,,,,,1
945,"**-****-00945",945,,945,"Raina","Elena","Bradtke",,,,,"2014-02-21",,,"applicant",,,,,,,1
946,"**-****-00946",946,,946,"Susanna","Alivia","Nicolas",,,,,"2013-02-11",,,"applicant",,,,,,,1
947,"**-****-00947",947,,947,"Marcel","Esta","Terry",,,,,"2012-10-13",,,"applicant",,,,,,,1
272,"**-****-00272",272,,272,"Titus","Marisol","Smitham",,,,,"2013-06-28",,,"admitted","Nagoya, 2401 Stanton Heights","Email: darrel_harris@fritsch.info",,,,,1
948,"**-****-00948",948,,948,"Laurel","Jovanny","Durgan",,,,,"2013-03-23",,,"applicant",,,,,,,1
949,"**-****-00949",949,,949,"Reinhold","Ivory","Flatley",,,,,"2011-10-28",,,"applicant",,,,,,,1
950,"**-****-00950",950,,950,"Hortense","Rosina","Reilly",,,,,"2011-09-21",,,"applicant",,,,,,,1
951,"**-****-00951",951,,951,"Gideon","Gilberto","Lubowitz",,,,,"2013-04-23",,,"applicant",,,,,,,1
273,"**-****-00273",273,,273,"Nia","Don","Prosacco",,,,,"2012-11-07",,,"admitted","Nagoya, 6565 Jakob Forest","Email: eriberto@vonrueden.biz",,,,,1
952,"**-****-00952",952,,952,"Deja","Morgan","Spencer",,,,,"2012-03-01",,,"applicant",,,,,,,1
953,"**-****-00953",953,,953,"Casandra","Amira","Robel",,,,,"2014-04-28",,,"applicant",,,,,,,1
954,"**-****-00954",954,,954,"Esteban","Jacky","Beatty",,,,,"2012-07-03",,,"applicant",,,,,,,1
955,"**-****-00955",955,,955,"Aiden","Dallin","Dooley",,,,,"2012-01-09",,,"applicant",,,,,,,1
956,"**-****-00956",956,,956,"Fritz","Lazaro","Walsh",,,,,"2013-03-23",,,"applicant",,,,,,,1
274,"**-****-00274",274,,274,"Ernie","Garrett","Prohaska",,,,,"2012-02-22",,,"admitted","Nagoya, 478 Padberg Mission","Email: lempi_harris@heidenreich.name",,,,,1
957,"**-****-00957",957,,957,"Alverta","Leo","Schneider",,,,,"2013-10-06",,,"applicant",,,,,,,1
958,"**-****-00958",958,,958,"Brody","Ola","Schmitt",,,,,"2014-05-12",,,"applicant",,,,,,,1
959,"**-****-00959",959,,959,"Alfonzo","Erik","Bergstrom",,,,,"2013-02-06",,,"applicant",,,,,,,1
960,"**-****-00960",960,,960,"Rhea","Mabelle","Reichel",,,,,"2012-09-05",,,"applicant",,,,,,,1
961,"**-****-00961",961,,961,"Howard","Landen","McClure",,,,,"2012-02-13",,,"applicant",,,,,,,1
962,"**-****-00962",962,,962,"Gail","Abraham","Prosacco",,,,,"2014-02-07",,,"applicant",,,,,,,1
963,"**-****-00963",963,,963,"Willis","Milo","Jaskolski",,,,,"2012-02-17",,,"applicant",,,,,,,1
964,"**-****-00964",964,,964,"Bernadette","Aileen","Ortiz",,,,,"2012-03-18",,,"applicant",,,,,,,1
275,"**-****-00275",275,,275,"Lauretta","Graham","Jewess",,,,,"2012-10-30",,,"admitted","Nagoya, 684 Kiana Crossroad","Email: johnson@herzog.info",,,,,1
965,"**-****-00965",965,,965,"Lesly","Edythe","Rosenbaum",,,,,"2011-12-11",,,"applicant",,,,,,,1
966,"**-****-00966",966,,966,"Buford","Jazlyn","Kessler",,,,,"2014-05-28",,,"applicant",,,,,,,1
967,"**-****-00967",967,,967,"Arden","Jennifer","Thiel",,,,,"2012-01-02",,,"applicant",,,,,,,1
968,"**-****-00968",968,,968,"Jose","Josefa","Runolfsdottir",,,,,"2013-04-19",,,"applicant",,,,,,,1
969,"**-****-00969",969,,969,"Abigail","Percy","Dicki",,,,,"2013-12-23",,,"applicant",,,,,,,1
276,"**-****-00276",276,,276,"Jedidiah","Juston","Rippin",,,,,"2013-07-02",,,"admitted","Nagoya, 93050 Laron Forges","Email: kennith.hackett@langosh.us",,,,,1
970,"**-****-00970",970,,970,"Dale","Vidal","Graham",,,,,"2013-02-22",,,"applicant",,,,,,,1
971,"**-****-00971",971,,971,"Maxwell","Heath","Olson",,,,,"2011-12-16",,,"applicant",,,,,,,1
972,"**-****-00972",972,,972,"Nelson","Tyler","Rosenbaum",,,,,"2012-08-23",,,"applicant",,,,,,,1
973,"**-****-00973",973,,973,"Brittany","Hailey","Franecki",,,,,"2013-08-13",,,"applicant",,,,,,,1
974,"**-****-00974",974,,974,"Haven","Elva","Wiegand",,,,,"2012-01-09",,,"applicant",,,,,,,1
975,"**-****-00975",975,,975,"Erin","Trudie","Vandervort",,,,,"2013-04-29",,,"applicant",,,,,,,1
976,"**-****-00976",976,,976,"Tony","Duane","Ondricka",,,,,"2011-09-30",,,"applicant",,,,,,,1
977,"**-****-00977",977,,977,"Demetrius","Mariane","Rogahn",,,,,"2013-11-09",,,"applicant",,,,,,,1
277,"**-****-00277",277,,277,"Niko","Chasity","Kreiger",,,,,"2013-12-22",,,"admitted","Nagoya, 1326 London Turnpike","Email: willie@stracke.com",,,,,1
978,"**-****-00978",978,,978,"Meghan","Larry","Legros",,,,,"2011-12-29",,,"applicant",,,,,,,1
979,"**-****-00979",979,,979,"Arlo","Muhammad","Cartwright",,,,,"2012-09-20",,,"applicant",,,,,,,1
980,"**-****-00980",980,,980,"Jeffrey","Cindy","Towne",,,,,"2012-02-21",,,"applicant",,,,,,,1
981,"**-****-00981",981,,981,"Leland","Elliot","Tillman",,,,,"2014-02-24",,,"applicant",,,,,,,1
982,"**-****-00982",982,,982,"Santiago","Vito","Smitham",,,,,"2013-01-18",,,"applicant",,,,,,,1
278,"**-****-00278",278,,278,"Vanessa","Chauncey","Corkery",,,,,"2011-10-01",,,"admitted","Nagoya, 6716 Rodriguez Valleys","Email: marjory@wuckertoconnell.biz",,,,,1
983,"**-****-00983",983,,983,"Sheridan","Favian","Kuphal",,,,,"2012-01-22",,,"applicant",,,,,,,1
984,"**-****-00984",984,,984,"Olga","Zion","Jerde",,,,,"2012-03-02",,,"applicant",,,,,,,1
985,"**-****-00985",985,,985,"Kobe","Rosemarie","Padberg",,,,,"2014-04-08",,,"applicant",,,,,,,1
986,"**-****-00986",986,,986,"Ephraim","Allison","Klein",,,,,"2014-05-08",,,"applicant",,,,,,,1
279,"**-****-00279",279,,279,"Deondre","Maymie","Orn",,,,,"2012-05-06",,,"admitted","Nagoya, 206 Esperanza Vista","Email: marco@vandervortkoelpin.co.uk",,,,,1
987,"**-****-00987",987,,987,"Krystal","Johann","Bartoletti",,,,,"2012-08-06",,,"applicant",,,,,,,1
988,"**-****-00988",988,,988,"Eliza","Lula","Hodkiewicz",,,,,"2012-11-23",,,"applicant",,,,,,,1
989,"**-****-00989",989,,989,"Danial","Jeramie","Jaskolski",,,,,"2012-07-04",,,"applicant",,,,,,,1
990,"**-****-00990",990,,990,"Leopoldo","Kayley","Beahan",,,,,"2014-03-16",,,"applicant",,,,,,,1
991,"**-****-00991",991,,991,"Abagail","Stella","Tromp",,,,,"2011-11-29",,,"applicant",,,,,,,1
992,"**-****-00992",992,,992,"Jeff","Yvette","Lesch",,,,,"2014-02-09",,,"applicant",,,,,,,1
993,"**-****-00993",993,,993,"Jayda","Arvid","Cummerata",,,,,"2012-05-31",,,"applicant",,,,,,,1
994,"**-****-00994",994,,994,"Theodora","Berenice","Parisian",,,,,"2013-03-01",,,"applicant",,,,,,,1
995,"**-****-00995",995,,995,"Keyshawn","Triston","Graham",,,,,"2014-04-29",,,"applicant",,,,,,,1
280,"**-****-00280",280,,280,"Larry","Willis","Kovacek",,,,,"2012-12-04",,,"admitted","Nagoya, 90721 Liliana Crest","Email: leland@morissettepagac.co.uk",,,,,1
996,"**-****-00996",996,,996,"Callie","Juliana","Armstrong",,,,,"2014-01-25",,,"applicant",,,,,,,1
997,"**-****-00997",997,,997,"Patrick","Jasper","Balistreri",,,,,"2013-09-25",,,"applicant",,,,,,,1
998,"**-****-00998",998,,998,"Rebekah","Paolo","Lang",,,,,"2013-01-23",,,"applicant",,,,,,,1
999,"**-****-00999",999,,999,"Eldred","Yesenia","Ullrich",,,,,"2013-11-18",,,"applicant",,,,,,,1
281,"**-****-00281",281,,281,"Hilma","Kolby","Leuschke",,,,,"2012-02-11",,,"admitted","Nagoya, 47519 Dejah Shoal","Email: kyle_williamson@windlerfisher.name",,,,,1
1000,"**-****-01000",1000,,1000,"Era","Carli","Bradtke",,,,,"2012-01-19",,,"applicant",,,,,,,1
1001,"**-****-01001",1001,,1001,"Carolyne","Daryl","Bogisich",,,,,"2013-03-26",,,"applicant",,,,,,,1
1002,"**-****-01002",1002,,1002,"Jolie","Sigmund","Senger",,,,,"2014-04-12",,,"applicant",,,,,,,1
1003,"**-****-01003",1003,,1003,"Otto","Hermann","Oberbrunner",,,,,"2011-11-13",,,"applicant",,,,,,,1
1004,"**-****-01004",1004,,1004,"Audrey","Olaf","Greenholt",,,,,"2012-06-11",,,"applicant",,,,,,,1
1005,"**-****-01005",1005,,1005,"Shaun","Name","Lebsack",,,,,"2012-05-28",,,"applicant",,,,,,,1
1006,"**-****-01006",1006,,1006,"Dewayne","Lambert","Eichmann",,,,,"2013-05-02",,,"applicant",,,,,,,1
1007,"**-****-01007",1007,,1007,"Luther","Edmund","Ortiz",,,,,"2013-10-28",,,"applicant",,,,,,,1
1008,"**-****-01008",1008,,1008,"Willis","Emmy","Borer",,,,,"2014-05-08",,,"applicant",,,,,,,1
282,"**-****-00282",282,,282,"Darrell","Arvid","Braun",,,,,"2013-08-03",,,"admitted","Nagoya, 74232 Keebler Bridge","Email: arlie.hills@farrellsanford.biz",,,,,1
1009,"**-****-01009",1009,,1009,"Theodora","Salma","Predovic",,,,,"2012-06-30",,,"applicant",,,,,,,1
1010,"**-****-01010",1010,,1010,"Merle","Darryl","Eichmann",,,,,"2012-02-27",,,"applicant",,,,,,,1
1011,"**-****-01011",1011,,1011,"Domenico","Erna","Orn",,,,,"2012-02-14",,,"applicant",,,,,,,1
1012,"**-****-01012",1012,,1012,"Lizeth","Nichole","Schuster",,,,,"2012-07-24",,,"applicant",,,,,,,1
283,"**-****-00283",283,,283,"Paxton","Zack","VonRueden",,,,,"2011-11-04",,,"admitted","Nagoya, 58788 Shyanne Underpass","Email: adolphus@jenkins.ca",,,,,1
1013,"**-****-01013",1013,,1013,"Davin","Katarina","Sanford",,,,,"2013-04-17",,,"applicant",,,,,,,1
1014,"**-****-01014",1014,,1014,"Wilhelmine","Domingo","O'Keefe",,,,,"2012-11-01",,,"applicant",,,,,,,1
1015,"**-****-01015",1015,,1015,"Reed","Faye","Volkman",,,,,"2012-08-29",,,"applicant",,,,,,,1
1016,"**-****-01016",1016,,1016,"Gina","Jody","Beer",,,,,"2013-05-24",,,"applicant",,,,,,,1
1017,"**-****-01017",1017,,1017,"Winfield","Theresa","Kerluke",,,,,"2012-06-01",,,"applicant",,,,,,,1
1018,"**-****-01018",1018,,1018,"Darrin","Macy","Wiza",,,,,"2012-08-31",,,"applicant",,,,,,,1
1019,"**-****-01019",1019,,1019,"Audie","Shemar","Abernathy",,,,,"2012-05-19",,,"applicant",,,,,,,1
284,"**-****-00284",284,,284,"Myriam","Aron","Leffler",,,,,"2012-11-08",,,"admitted","Nagoya, 694 Laverne Meadows","Email: napoleon.kreiger@lehner.biz",,,,,1
1020,"**-****-01020",1020,,1020,"Shea","Eliza","Heaney",,,,,"2012-05-30",,,"applicant",,,,,,,1
1021,"**-****-01021",1021,,1021,"Bryce","Amya","Ankunding",,,,,"2012-09-13",,,"applicant",,,,,,,1
1022,"**-****-01022",1022,,1022,"Lisa","Shanie","Blanda",,,,,"2013-06-06",,,"applicant",,,,,,,1
1023,"**-****-01023",1023,,1023,"Walton","Jessie","Mann",,,,,"2013-12-20",,,"applicant",,,,,,,1
285,"**-****-00285",285,,285,"Noemie","Kris","McLaughlin",,,,,"2012-10-05",,,"admitted","Nagoya, 875 Larson Terrace","Email: madonna@schultzdaniel.ca",,,,,1
1024,"**-****-01024",1024,,1024,"Unique","Clark","Cormier",,,,,"2012-09-02",,,"applicant",,,,,,,1
1025,"**-****-01025",1025,,1025,"Isac","Blaze","Yundt",,,,,"2014-01-17",,,"applicant",,,,,,,1
1026,"**-****-01026",1026,,1026,"Ahmed","Sophia","Sauer",,,,,"2011-10-29",,,"applicant",,,,,,,1
1027,"**-****-01027",1027,,1027,"Sydney","Molly","Cruickshank",,,,,"2012-06-21",,,"applicant",,,,,,,1
1028,"**-****-01028",1028,,1028,"Pierce","Bradford","Beahan",,,,,"2013-08-23",,,"applicant",,,,,,,1
286,"**-****-00286",286,,286,"Ada","Blaise","Hintz",,,,,"2012-03-29",,,"admitted","Nagoya, 48125 Isaiah Unions","Email: ola_conn@schillercruickshank.info",,,,,1
1029,"**-****-01029",1029,,1029,"Rolando","Jakob","Koss",,,,,"2011-12-27",,,"applicant",,,,,,,1
1030,"**-****-01030",1030,,1030,"Deven","Devin","Mante",,,,,"2014-03-29",,,"applicant",,,,,,,1
